"filename", "language", "Markdown", "Go Checksum File", "Properties", "Go", "YAML", "Go Module File", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "JavaScript", "JSON", "HTML", "XML", "MS SQL", "comment", "blank", "total"
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 14, 159
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 16, 132
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 696, 0, 0, 0, 0, 0, 0, 12, 54, 762
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 11, 118
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 13, 128
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 9, 60
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/use-toast.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
